Timestamp,PV,SP,OUTPUT
2026-06-22T17:18:54.630114,-3.4,100.0,95.0
2026-06-22T17:18:56.631876,-3.4,100.0,95.0
2026-06-22T17:18:58.649751,-3.4,100.0,95.0
2026-06-22T17:19:00.604359,-3.4,100.0,95.0
2026-06-22T17:19:02.637357,-3.4,100.0,95.0
2026-06-22T17:19:04.623201,-3.4,100.0,95.0
2026-06-22T17:19:06.624890,-3.4,100.0,95.0
2026-06-22T17:19:08.610693,-3.4,100.0,95.0
2026-06-22T17:19:10.644568,-3.4,100.0,95.0
2026-06-22T17:19:12.630417,-3.4,100.0,95.0
2026-06-22T17:19:14.633148,-3.4,100.0,95.0
2026-06-22T17:19:16.618000,-3.4,100.0,95.0
2026-06-22T17:19:18.603736,-3.4,100.0,95.0
2026-06-22T17:19:20.637502,-3.4,100.0,95.0
2026-06-22T17:19:22.623374,-3.4,100.0,95.0
2026-06-22T17:19:24.625155,-3.4,100.0,95.0
2026-06-22T17:19:26.610887,-3.4,100.0,95.0
2026-06-22T17:19:28.644729,-3.4,100.0,95.0
2026-06-22T17:19:30.630557,-3.4,100.0,95.0
2026-06-22T17:19:32.664244,-3.4,100.0,95.0
2026-06-22T17:19:34.682023,-3.4,100.0,95.0
2026-06-22T17:19:36.683863,-3.4,100.0,95.0
2026-06-22T17:19:38.669847,-3.4,100.0,95.0
2026-06-22T17:19:40.687507,-3.4,100.0,95.0
2026-06-22T17:19:42.657389,-3.4,100.0,95.0
2026-06-22T17:19:44.675001,-3.4,100.0,95.0
2026-06-22T17:19:46.676770,-3.4,100.0,95.0
2026-06-22T17:19:48.662475,-3.4,100.0,95.0
2026-06-22T17:19:50.696266,-3.4,100.0,95.0
2026-06-22T17:19:52.650050,-3.4,100.0,95.0
2026-06-22T17:19:54.683848,-3.4,100.0,95.0
2026-06-22T17:19:56.669672,-3.4,100.0,95.0
2026-06-22T17:19:58.671835,-3.4,100.0,95.0
2026-06-22T17:20:00.657730,-3.4,100.0,95.0
2026-06-22T17:20:02.675421,-3.4,100.0,95.0
2026-06-22T17:20:04.677326,-3.4,100.0,95.0
2026-06-22T17:20:06.662973,-3.4,100.0,95.0
2026-06-22T17:20:08.696832,-3.4,100.0,95.0
2026-06-22T17:20:10.650749,-3.4,100.0,95.0
2026-06-22T17:20:12.684477,-3.4,100.0,95.0
2026-06-22T17:20:14.670226,-3.4,100.0,95.0
2026-06-22T17:20:16.687940,-3.4,100.0,95.0
2026-06-22T17:20:18.689745,-3.4,100.0,95.0
2026-06-22T17:20:20.675573,-3.4,100.0,95.0
2026-06-22T17:20:22.677366,-3.4,100.0,95.0
2026-06-22T17:20:24.695133,-3.4,100.0,95.0
2026-06-22T17:20:26.696764,-3.4,100.0,95.0
2026-06-22T17:20:28.714512,-3.4,100.0,95.0
2026-06-22T17:20:30.716330,-3.4,100.0,95.0
2026-06-22T17:20:32.702001,-3.4,100.0,95.0
2026-06-22T17:20:34.735863,-3.4,100.0,95.0
2026-06-22T17:20:36.689819,-3.4,100.0,95.0
2026-06-22T17:20:38.723443,-3.4,100.0,95.0
2026-06-22T17:20:40.709229,-3.4,100.0,95.0
2026-06-22T17:20:42.695242,-3.4,100.0,95.0
2026-06-22T17:20:44.696798,-3.4,100.0,95.0
2026-06-22T17:20:46.682530,-3.4,100.0,95.0
2026-06-22T17:20:48.716546,-3.4,100.0,95.0
2026-06-22T17:20:50.702145,-3.4,100.0,95.0
2026-06-22T17:20:52.703862,-3.4,100.0,95.0
2026-06-22T17:20:54.721662,-3.4,100.0,95.0
2026-06-22T17:20:56.723716,-3.4,100.0,95.0
2026-06-22T17:20:58.741342,-3.4,100.0,95.0
2026-06-22T17:21:00.743117,-3.4,100.0,95.0
2026-06-22T17:21:02.760990,-3.4,100.0,95.0
2026-06-22T17:21:04.762704,-3.4,100.0,95.0
2026-06-22T17:21:06.748635,-3.4,100.0,95.0
2026-06-22T17:21:08.766335,-3.4,100.0,95.0
2026-06-22T17:21:10.768122,-3.4,100.0,95.0
2026-06-22T17:21:12.753955,-3.4,100.0,95.0
2026-06-22T17:21:14.755574,-3.4,100.0,95.0
2026-06-22T17:21:16.773383,-3.4,100.0,95.0
2026-06-22T17:21:18.775260,-3.4,100.0,95.0
2026-06-22T17:21:20.793121,-3.4,100.0,95.0
2026-06-22T17:21:22.827164,-3.4,100.0,95.0
2026-06-22T17:21:24.812615,-3.4,100.0,95.0
2026-06-22T17:21:26.798519,-3.4,100.0,95.0
2026-06-22T17:21:28.800192,-3.4,100.0,95.0
2026-06-22T17:21:30.802046,-3.4,100.0,95.0
2026-06-22T17:21:32.787763,-3.4,100.0,95.0
2026-06-22T17:21:34.805651,-3.4,100.0,95.0
2026-06-22T17:21:36.807417,-3.4,100.0,95.0
2026-06-22T17:21:38.793151,-3.4,100.0,95.0
2026-06-22T17:21:40.827007,-3.4,100.0,95.0
2026-06-22T17:21:42.812758,-3.4,100.0,95.0
2026-06-22T17:21:44.798519,-3.4,100.0,95.0
2026-06-22T17:21:46.800353,-3.4,100.0,95.0
2026-06-22T17:21:48.802115,-3.4,100.0,95.0
2026-06-22T17:21:50.787765,-3.4,100.0,95.0
2026-06-22T17:21:52.805732,-3.4,100.0,95.0
2026-06-22T17:21:54.775217,-3.4,100.0,95.0
2026-06-22T17:21:56.793040,-3.4,100.0,95.0
2026-06-22T17:21:58.826708,-3.4,100.0,95.0
2026-06-22T17:22:00.812445,-3.4,100.0,95.0
2026-06-22T17:22:02.846407,-3.4,100.0,95.0
2026-06-22T17:22:04.831997,-3.4,100.0,95.0
2026-06-22T17:22:06.817755,-3.4,100.0,95.0
2026-06-22T17:22:08.819580,-3.4,100.0,95.0
2026-06-22T17:22:10.805401,-3.4,100.0,95.0
2026-06-22T17:22:12.807186,-3.4,100.0,95.0
2026-06-22T17:22:14.793164,-3.4,100.0,95.0
2026-06-22T17:22:16.826763,-3.4,100.0,95.0
2026-06-22T17:22:18.844552,-3.4,100.0,95.0
2026-06-22T17:22:20.846120,-3.4,100.0,95.0
2026-06-22T17:22:22.864320,-3.4,100.0,95.0
2026-06-22T17:22:24.865871,-3.4,100.0,95.0
2026-06-22T17:22:26.851607,-3.4,100.0,95.0
2026-06-22T17:22:28.885413,-3.4,100.0,95.0
2026-06-22T17:22:30.871181,-3.4,100.0,95.0
2026-06-22T17:22:32.872976,-3.4,100.0,95.0
2026-06-22T17:22:34.890701,-3.4,100.0,95.0
2026-06-22T17:22:36.892644,-3.4,100.0,95.0
2026-06-22T17:22:38.878434,-3.4,100.0,95.0
2026-06-22T17:22:40.864474,-3.4,100.0,95.0
2026-06-22T17:22:42.865919,-3.3,100.0,95.0
2026-06-22T17:22:44.851862,-3.3,100.0,95.0
2026-06-22T17:22:46.885767,-3.3,100.0,95.0
2026-06-22T17:22:48.871423,-3.3,100.0,95.0
2026-06-22T17:22:50.873166,-3.3,100.0,95.0
2026-06-22T17:22:52.891051,-3.3,100.0,95.0
2026-06-22T17:22:54.892825,-3.3,100.0,95.0
2026-06-22T17:22:56.878582,-3.3,100.0,95.0
2026-06-22T17:22:58.896281,-3.3,100.0,95.0
2026-06-22T17:23:00.866001,-3.3,100.0,95.0
2026-06-22T17:23:02.884028,-3.3,100.0,95.0
2026-06-22T17:23:04.886088,-3.3,100.0,95.0
2026-06-22T17:23:06.871398,-3.3,100.0,95.0
2026-06-22T17:23:08.905262,-3.3,100.0,95.0
2026-06-22T17:23:10.890911,-3.3,100.0,95.0
2026-06-22T17:23:12.925035,-3.3,100.0,95.0
2026-06-22T17:23:14.910490,-3.3,100.0,95.0
2026-06-22T17:23:16.912237,-3.3,100.0,95.0
2026-06-22T17:23:18.930595,-3.3,100.0,95.0
2026-06-22T17:23:20.931822,-3.3,100.0,95.0
2026-06-22T17:23:22.917677,-3.3,100.0,95.0
2026-06-22T17:23:44.072514,-3.3,100.0,95.0
2026-06-22T17:23:46.106809,-3.3,100.0,95.0
2026-06-22T17:23:48.061169,-3.3,100.0,95.0
2026-06-22T17:23:50.095247,-3.3,100.0,95.0
2026-06-22T17:23:52.081389,-3.3,100.0,95.0
2026-06-22T17:23:54.084613,-3.3,100.0,95.0
2026-06-22T17:23:56.070014,-3.3,100.0,95.0
2026-06-22T17:23:58.087925,-3.3,100.0,95.0
2026-06-22T17:24:00.090309,-3.3,100.0,95.0
2026-06-22T17:24:02.076351,-3.3,100.0,95.0
2026-06-22T17:24:04.078864,-3.3,100.0,95.0
2026-06-22T17:24:06.240906,-3.3,100.0,95.0
2026-06-22T17:24:08.067046,-3.3,100.0,95.0
2026-06-22T17:24:10.053114,-3.3,100.0,95.0
2026-06-22T17:24:12.087404,-3.3,100.0,95.0
2026-06-22T17:24:14.073522,-3.3,100.0,95.0
2026-06-22T17:24:16.075751,-3.3,100.0,95.0
2026-06-22T17:24:18.062048,-3.3,100.0,95.0
2026-06-22T17:24:20.096231,-3.3,100.0,95.0
2026-06-22T17:24:22.082294,-3.3,100.0,95.0
2026-06-22T17:24:24.084506,-3.3,100.0,95.0
2026-06-22T17:24:26.070786,-3.3,100.0,95.0
2026-06-22T17:24:28.104987,-3.3,100.0,95.0
2026-06-22T17:24:30.091146,-3.3,100.0,95.0
2026-06-22T17:24:32.125396,-3.3,100.0,95.0
2026-06-22T17:24:34.079605,-3.3,100.0,95.0
2026-06-22T17:24:36.113857,-3.3,100.0,95.0
2026-06-22T17:24:38.100010,-3.3,100.0,95.0
2026-06-22T17:24:58.013442,-3.3,100.0,95.0
2026-06-22T17:25:00.031267,-3.3,100.0,95.0
2026-06-22T17:25:02.017162,-3.3,100.0,95.0
2026-06-22T17:25:04.018746,-3.3,100.0,95.0
2026-06-22T17:25:06.004598,-3.3,100.0,95.0
2026-06-22T17:25:08.006396,-3.3,100.0,95.0
2026-06-22T17:25:10.024396,-3.3,100.0,95.0
2026-06-22T17:25:12.026062,-3.3,100.0,95.0
2026-06-22T17:25:14.011932,-3.3,100.0,95.0
2026-06-22T17:25:16.013494,-3.3,100.0,95.0
2026-06-22T17:25:17.999488,-3.3,100.0,95.0
2026-06-22T17:25:20.033136,-3.3,100.0,95.0
2026-06-22T17:25:22.019039,-3.3,100.0,95.0
2026-06-22T17:25:24.004552,-3.3,100.0,95.0
2026-06-22T17:25:26.006479,-3.3,100.0,95.0
2026-06-22T17:25:28.024124,-3.3,100.0,95.0
2026-06-22T17:25:30.025845,-3.3,100.0,95.0
2026-06-22T17:25:32.076100,-3.3,100.0,95.0
2026-06-22T17:25:34.045596,-3.3,100.0,95.0
2026-06-22T17:25:36.383574,-3.3,100.0,95.0
2026-06-22T17:25:38.033215,-3.3,100.0,95.0
2026-06-22T17:25:40.018805,-3.3,100.0,95.0
2026-06-22T17:25:42.053109,-3.3,100.0,95.0
2026-06-22T17:25:44.038353,-3.3,100.0,95.0
2026-06-22T17:25:46.056543,-3.3,100.0,95.0
2026-06-22T17:25:48.058007,-3.3,100.0,95.0
2026-06-22T17:25:50.043738,-3.3,100.0,95.0
2026-06-22T17:25:52.045726,-3.3,100.0,95.0
2026-06-22T17:25:54.031351,-3.3,100.0,95.0
2026-06-22T17:25:56.065129,-3.3,100.0,95.0
2026-06-22T17:25:58.051054,-3.3,100.0,95.0
2026-06-22T17:26:00.084611,-3.3,100.0,95.0
2026-06-22T17:26:02.070598,-3.3,100.0,95.0
2026-06-22T17:26:04.056290,-3.3,100.0,95.0
